channel_title,title,views,likes,dislikes
shakiraVEVO,Shakira - Trap (Official Video) ft. Maluma,15924122,542011,98637
ibighit,BTS (방탄소년단) LOVE YOURSELF 轉 Tear 'Singularity' Comeback Trailer,15875379,2285431,19400
ArianaGrandeVevo,Ariana Grande - No Tears Left To Cry,15873773,1386650,40714
EnriqueIglesiasVEVO,Enrique Iglesias - EL BAÑO ft. Bad Bunny,15834441,446958,49803
Logan Paul Vlogs,Suicide: Be Here Tomorrow.,15808339,1625411,334551
ibighit,j-hope 'Daydream (백일몽)' MV,15777624,2392595,21872
Saad Lamjarred | سعد لمجرد,Saad Lamjarred - Ghazali (EXCLUSIVE Music Video) | 2018 | سعد لمجرد - غزالي ( فيديو كليب حصرياً),15513716,528555,75763
jbalvinVEVO,J. Balvin - Ahora,15474680,320810,10778
DemiLovatoVEVO,Demi Lovato - Tell Me You Love Me,15463329,999798,18452
KSI,KSI vs Joe Weller – Copper Box Arena February 3rd 2018,15460236,448784,18364
Dude Perfect,Boomerang Trick Shots | Dude Perfect,15295839,701925,11126
PostMaloneVEVO,Post Malone - rockstar ft. 21 Savage,15162291,789844,21325
NickiMinajAtVEVO,Nicki Minaj - Chun-Li,15135153,587824,60028
KSI,KSI vs Joe Weller – Copper Box Arena February 3rd 2018,15066347,404978,15332
AsapSCIENCE,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),15006579,278752,13601
JhayCortezVEVO,"Jhay Cortez, J. Balvin - Están Pa´ Mí",15005646,66365,2398
TaylorSwiftVEVO,Taylor Swift - Delicate,14820746,983715,44255
SpaceX,Falcon Heavy Test Flight,14816949,300313,7802
Ed Sheeran,Ed Sheeran - Perfect Symphony (with Andrea Bocelli),14815407,829223,12001
MLG Highlights,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,14647590,32892,117128
Marvel Entertainment,Marvel Studios' Ant-Man and The Wasp - Official Trailer,14597228,398882,7600
Sony Pictures Entertainment,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer (HD),14528223,389821,16256
Dua Lipa,Dua Lipa - IDGAF (Official Music Video),14352100,915002,22034
